what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1303908163062
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1303908163078
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1303908163078
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1303908163078
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1303908163078
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1303908163078
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1303908163078
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1303908163078
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1303908163078
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1303908163078
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1303908163078
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1303908163078
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1303908163078
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1303908163078
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1303908163078
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1303908163078
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1303908163078
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1303908163078
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1303908163078
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1303908163078
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1303908163078
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1303908163093
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1303908163093
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1303908163093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1303908163093
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1303908163093
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1303908163093
os,sysinfo,,,"win32",1303908163093
arch,sysinfo,,,"x86",1303908163093
ws,sysinfo,,,"win32",1303908163093
locale,sysinfo,,,"de_DE",1303908163093
processors,sysinfo,,,"2",1303908163093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303908163093
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1303908163093
java.specification.name,sysinfo,,,"Java Platform API Specification",1303908163093
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303908163093
java.specification.version,sysinfo,,,"1.6",1303908163093
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303908163093
java.version,sysinfo,,,"1.6.0_24",1303908163093
java.vm.info,sysinfo,,,"mixed mode",1303908163093
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1303908163093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303908163093
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303908163093
java.vm.specification.version,sysinfo,,,"1.0",1303908163093
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303908163093
java.vm.version,sysinfo,,,"19.1-b02",1303908163093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908169468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908169484
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908169531
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1303908169531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newWindow",1303908169531
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1303908175218
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1303908175218
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1303908175265
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1303908175265
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1303908175296
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1303908175296
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908175312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908175343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908181687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908181703
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908181750
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1303908181750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newWindow",1303908181750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908185015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908185031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1303908186078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908190656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908190656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908198812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908198828
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1303908198859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908202406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908202421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908205453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908205453
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1303908205625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908212140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908230937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908236796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908241609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908244937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908247140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908328812
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908329953
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303908330078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1303908330328
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1303908330375
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1303908330375
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1303908330375
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1303909036781
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1303909036781
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1303909036781
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1303909036781
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1303909036781
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1303909036781
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1303909036781
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1303909036781
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1303909036781
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1303909036781
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1303909036781
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1303909036781
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1303909036781
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1303909036796
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1303909036796
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1303909036796
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1303909036796
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1303909036796
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1303909036796
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1303909036796
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1303909036796
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1303909036796
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1303909036796
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1303909036796
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1303909036796
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1303909036796
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1303909036796
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1303909036796
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1303909036796
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1303909036796
